clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales,debt_ltd_com_eq_interaction,sale_assets_curr_interaction,sale_debt_interaction,ebitda_sales_interaction
3,BTD1G0-R,10.027,3.850614439,0.017,0.001566387,-0.05,6.013167847,-1.612,0.0,-1.084,-0.142633373,13.012,0.0,130.47132399999998,0.221204,-0.6506000000000001
6,BTD1G0-R,9.855,3.505869797,0.0,0.0,1.651,6.090285406,-2.598,0.0,1.854,-0.066800328,16.682,0.0,164.40111,0.0,27.541981999999997
4,BV1CVQ-R,8.56,267.5,0.0,0.0,-0.534,0.0,-0.164,0.0,-0.748,-0.014020532,0.0,0.0,0.0,0.0,-0.0
6,BV1CVQ-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,BV6DFF-R,9.033,4.620460358,0.148,0.006144138,3.966,6.013167847,-3.31,0.003113584,2.988,0.054990629,12.165,0.000460810432,109.88644499999998,1.8004199999999997,48.24639
6,BV6DFF-R,12.94104618,3.329154796,0.077522242,0.002852176,3.565029807,6.090285406,-5.31082636,0.001331015,4.366307817,0.021827063,15.05412773,0.00010318326693563002,194.81616215354856,1.1670297329839707,53.66841407583525
3,BV7C8B-R,13.829,0.765937413,6.628,1.259118541,1.629,8.215854052,-0.678,0.0,1.736,0.160323501,55.508,0.0,767.6201320000001,367.90702400000004,90.422532
6,BV7C8B-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,BVXT9L-R,200.7,0.569038843,331.0,1.223659889,4.1,6.013167847,23.1,0.741219963,89.4,0.0,208.5,245.34380775300002,41845.95,69013.5,854.8499999999999
6,BVXT9L-R,249.7,0.662158579,444.7,1.470568783,3.5,6.090285406,-1.3,1.453042328,33.2,0.0,192.9,646.1679232616,48167.13,85782.63,675.15
3,BWFXXL-R,1895.32633,1.034799511,914.5019883,0.390209242,568.7130831,6.013167847,-119.0099855,0.260415646,636.444705,0.089977349,5118.475874,238.15062605142893,9701182.093461962,4680856.36383858,2910944.195075507
6,BWFXXL-R,2537.183465,1.144876698,1634.837392,0.599545571,729.7029307,6.090285406,-788.3366673,0.481380641,595.4426957,0.098400011,5961.444447,786.9790716917282,15125278.278444469,9745992.29228636,4350083.484181141
3,BWHL24-R,26.8092326,1.539854031,0.0,0.0,17.44658,6.013167847,15.370995,0.0,2.356682,0.0,9.094921,0.0,243.8278525676246,0.0,158.67526682017998
6,BWHL24-R,32.226,1.716864888,8.492356307,0.127926584,35.51243,6.090285406,7.69743,0.064841377,-0.937208,0.0,7.158287,0.5506560769205148,230.68295686199997,60.7907237517661,254.20816600741
3,BXB5HS-R,26.8092326,1.539854031,0.0,0.0,258.96332,6.013167847,-12.11426602,0.0,28.62750165,0.0,13.06500537,0.0,350.2627678845791,0.0,3383.3571664330284
6,BXB5HS-R,32.226,1.716864888,8.492356307,0.127926584,611.30972,6.090285406,-17.35624371,0.064841377,30.27131543,0.0,120.0447818,0.5506560769205148,3868.5631382867996,1019.4630598416687,73384.54194961909
3,BXFZ3Q-R,2.9,5.5028463,0.492,0.039253231,0.09,6.013167847,-0.572,0.03709909,0.38,-0.006726627,2.187,0.01825275228,6.342299999999999,1.076004,0.19682999999999998
6,BXFZ3Q-R,3.956,3.792905081,0.462,0.035340014,0.883,6.090285406,-0.088,0.024554425,0.507,0.0466018,3.667,0.011344144350000002,14.506651999999999,1.694154,3.237961
3,BXGP41-R,2.567354,12.79716278,0.0,0.0,-0.861645,6.013167847,-0.702478,0.0,-0.595374,-0.181010272,0.0,0.0,0.0,0.0,-0.0
6,BXGP41-R,1.084974,7.027807466,0.0,0.0,-0.894117,6.090285406,-1.444612,0.0,-1.011673,-0.151042515,0.0,0.0,0.0,0.0,-0.0
3,BXL41M-R,635.9,1.357600342,719.0,1.144722178,257.2,8.94934976,-367.7,1.119186992,188.7,0.094174991,1644.2,804.6954472479999,1045546.78,1182179.8,422888.24
6,BXL41M-R,1075.0,1.90771961,663.0,0.641819942,520.3,8.15,-80.5,0.641813009,275.4,0.213157079,2329.5,425.52202496700005,2504212.5,1544458.5,1212038.8499999999
3,BXNGHT-R,9.455,2.75495338,3.74,0.376826196,-5.237,6.013167847,-2.513,0.27163728,-3.481,-0.541692889,11.82,1.0159234272,111.7581,44.2068,-61.901340000000005
6,BXNGHT-R,9.783,1.570809249,4.689,0.463981793,-5.229,6.090285406,-3.088,0.190085098,-4.393,-0.616301043,13.552,0.891309024522,132.579216,63.545328,-70.86340799999999
3,BZPZSK-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572,0.472300008838205,614.8270082576505,174.10157950341457,46.60068042304
6,BZPZSK-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,BZSD7P-R,26.8092326,1.539854031,0.0,0.0,3.38,6.013167847,-7.371,0.0,-1.339,0.0,0.429,0.0,11.5011607854,0.0,1.4500199999999999
6,BZSD7P-R,32.226,1.716864888,0.0,0.0,40.381,6.090285406,7.699,0.0,-2.712,0.0,13.928,0.0,448.843728,0.0,562.4265680000001
3,BZWQLT-R,2.308058086,3.455640745,0.0,0.0,-2.404950923,0.021675196,-4.072196504,0.0,-1.678942756,-0.104562494,0.0,0.0,0.0,0.0,-0.0
